player_id,player_name,team_name,batting_hand,bowling_hand,bowling_pace_spin,bowling_style,primary_role
1,Smriti Mandhana,INDIA WOMEN,left,,,,
2,Shafali Verma,INDIA WOMEN,right,,,,
3,Jemimah Rodriguez,INDIA WOMEN,right,,,,
4,Harmanpreet Kaur,INDIA WOMEN,right,,,,
5,Richa Ghosh,INDIA WOMEN,right,,,,
6,Deepti Sharma,INDIA WOMEN,left,,,,
7,Pooja Vastrakar,INDIA WOMEN,right,,,,
8,Radha Yadav,INDIA WOMEN,right,,,,
9,Shreyanka Patil,INDIA WOMEN,right,,,,
10,Yastika Bhatia,INDIA WOMEN,left,,,,
11,Dayalan Hemalatha,INDIA WOMEN,right,,,,
12,Sajeevan Sajana,INDIA WOMEN,right,,,,
13,Asha Shobhana,INDIA WOMEN,,,,,
14,Arundhati Reddy,INDIA WOMEN,,,,,
15,Renuka Thakur,INDIA WOMEN,,,,,
16,Alyssa Healy,AUSTRALIA WOMEN,,,,,
17,Phoebe Litchfield,AUSTRALIA WOMEN,,,,,
18,Beth Mooney,AUSTRALIA WOMEN,,,,,
19,Ashleigh Gardner,AUSTRALIA WOMEN,,,,,
20,Kim Garth,AUSTRALIA WOMEN,,,,,
21,Grace Harris,AUSTRALIA WOMEN,,,,,
22,Alana King,AUSTRALIA WOMEN,,,,,
23,Tahlia McGrath,AUSTRALIA WOMEN,,,,,
24,Elysse Perry,AUSTRALIA WOMEN,,,,,
25,Annabel Sutherland,AUSTRALIA WOMEN,,,,,
26,Darcie Brown,AUSTRALIA WOMEN,,,,,
27,Sophie Molineux,AUSTRALIA WOMEN,,,,,
28,Megan Schutt,AUSTRALIA WOMEN,,,,,
29,Tayla Vlaeminck,AUSTRALIA WOMEN,,,,,
30,Georgia Wareham,AUSTRALIA WOMEN,,,,,
31,Isabella Gaze,NEW ZEALAND WOMEN,,,,,
32,Maddy Green,NEW ZEALAND WOMEN,,,,,
33,Georgia Plimmer,NEW ZEALAND WOMEN,,,,,
34,Sophie Devine,NEW ZEALAND WOMEN,,,,,
35,Suzie Bates,NEW ZEALAND WOMEN,,,,,
36,Brooke Halliday,NEW ZEALAND WOMEN,,,,,
37,Amelia Kerr,NEW ZEALAND WOMEN,,,,,
38,Eden Carson,NEW ZEALAND WOMEN,,,,,
39,Fran Jones,NEW ZEALAND WOMEN,,,,,
40,Leigh Kasperek,NEW ZEALAND WOMEN,,,,,
41,Jess Kerr,NEW ZEALAND WOMEN,,,,,
42,Rosemary Mair,NEW ZEALAND WOMEN,,,,,
43,Molly Penfold,NEW ZEALAND WOMEN,,,,,
44,Hannah Rowe,NEW ZEALAND WOMEN,,,,,
45,Lea Tahuhu,NEW ZEALAND WOMEN,,,,,
46,Gull Feroza,PAKISTAN WOMEN,,,,,
47,Iram Javed,PAKISTAN WOMEN,,,,,
48,Muneeba Ali,PAKISTAN WOMEN,,,,,
49,Omaima Sohail,PAKISTAN WOMEN,,,,,
50,Sadaf Shamas,PAKISTAN WOMEN,,,,,
51,Sidra Amin,PAKISTAN WOMEN,,,,,
52,Fatima Sana,PAKISTAN WOMEN,,,,,
53,Alia Riaz,PAKISTAN WOMEN,,,,,
54,Nida Dar,PAKISTAN WOMEN,,,,,
55,Syeda Aroob Shah,PAKISTAN WOMEN,,,,,
56,Diana Baig,PAKISTAN WOMEN,,,,,
57,Nashra Sandhu,PAKISTAN WOMEN,,,,,
58,Sadia Iqbal,PAKISTAN WOMEN,,,,,
59,Tasmia Rubab,PAKISTAN WOMEN,,,,,
60,Tuba Hassan,PAKISTAN WOMEN,,,,,
